Probability,Empirical,Gamma,Lognormal,EVT
0.99,16451.223999999962,12647.851910538728,13035.784588140697,17412.889390229906
0.995,34376.964349999944,14792.584662536054,17281.086797335935,31784.46728956846
0.999,152223.24082000108,19825.75621991974,30904.10053775465,133151.53981719245
0.9995,210869.94920500054,22010.339384070285,38753.53210409386,248353.21506919476
