Feature,BaselineLoss,PermutedLoss,Importance,ImportanceStd
BonusMalus,0.30466609571815,0.3268477270926923,0.022181631374542266,0.002369735206835375
VehAge,0.30466609571815,0.32356585371647073,0.01889975799832072,0.0013207666300467287
VehBrand,0.30466609571815,0.31339041319002114,0.008724317471871135,0.0009923487829931268
VehPower,0.30466609571815,0.30963912904672186,0.004973033328571852,0.0002864891836705625
DrivAge,0.30466609571815,0.3094201534491669,0.004754057731016892,0.000357341362890935
VehGas,0.30466609571815,0.30753553260410454,0.002869436885954535,0.0007811298188932559
Region,0.30466609571815,0.3066550945795041,0.0019889988613540632,0.0004670280397430697
Density,0.30466609571815,0.3057607745248243,0.0010946788066742985,0.00027782896441480917
Area,0.30466609571815,0.3047783309812087,0.00011223526305870202,8.396276734093794e-05
